Date,Open,High,Low,Close,Adj Close,Volume,MA50,MA200,Previous day close price,Change in price,Percent change in price,Previous day volume,Change in volume,Percent change in volume,RSI,Bollinger Upper Band,Bollinger Lower Band,Daily Return,Cumulative Return,20-Day Volatility,Price Volatility,EMA12,EMA26,MACD,Signal,MACD_Histogram,Daily Returns,Direction,OBV,ROC
2008-07-23,187.97999572753906,190.0399932861328,184.69000244140625,187.8699951171875,148.0836944580078,9871900,176.5757992553711,192.28704971313476,188.0399932861328,-0.1699981689453125,-0.0009040532600245177,11268100.0,-1396200.0,-0.12390731356661722,56.66082447347838,151.35626075896263,124.43237602082256,-0.0009040936954856083,2.8620833374805716,0.03451822542521059,9.145068445534283,140.31613959745079,139.06064516881244,1.2554944286383432,-0.5434244580183083,1.7989188866566515,-0.0009040936954856083,-1,103267400,0.10628893542860296
2008-07-24,188.49000549316406,188.49000549316406,179.77000427246094,180.25999450683594,142.0852813720703,8828100,176.3743991088867,192.0535496520996,187.8699951171875,-7.6100006103515625,-0.0405067376810474,9871900.0,-1043800.0,-0.10573445841226103,50.905207678308024,150.98683539977804,124.5345909918235,-0.040506911364495135,2.7461491814114476,0.03575165854795771,9.177868247518752,140.58831525508455,139.2846922949797,1.3036229601048603,-0.17401497439367458,1.4776379344985349,-0.040506911364495135,-1,94439300,0.030646088035451324
2008-07-25,181.25999450683594,182.0,176.1699981689453,178.66000366210938,141.09814453125,7233900,176.14499908447266,191.75084968566895,180.25999450683594,-1.5999908447265625,-0.00887601738313537,8828100.0,-1594200.0,-0.18058245828660757,56.770314438278085,151.17075933485273,124.5672381016707,-0.006947495414640126,2.7270703225656736,0.03455075894760924,8.484527646935891,140.66675052834077,139.41902209025898,1.2477284380817935,0.11033370810141904,1.1373947299803744,-0.006947495414640126,-1,87205400,0.05703466540036706
2008-07-28,178.94000244140625,182.27999877929688,172.22999572753906,172.89999389648438,136.54913330078125,9264500,175.8305990600586,191.43564964294433,178.66000366210938,-5.760009765625,-0.03224006295510107,7233900.0,2030600.0,0.2807061197970666,48.786501063474354,151.13133980851237,124.50233176131188,-0.03224004997075813,2.639149439092385,0.03529001643647884,6.959398205196314,140.03327095487006,139.20643773548287,0.826833219387197,0.2536336103585747,0.5731996090286223,-0.03224004997075813,-1,77940900,0.016102434035061952
2008-07-29,174.6300048828125,181.8800048828125,173.36000061035156,181.6300048828125,143.44369506835938,11149700,175.72039916992188,191.19874969482422,172.89999389648438,8.730010986328125,0.050491678973423326,9264500.0,1885200.0,0.2034864266824976,59.07666963145454,151.64639131058442,124.54561155806793,0.05049143558012381,2.772403882982638,0.03704238037187204,4.001206434009128,140.55795158771457,139.5203086490293,1.0376429386852806,0.4104354760239159,0.6272074626613646,0.05049143558012381,1,89090600,0.11786071921977315
2008-07-30,184.0,186.8300018310547,180.9600067138672,186.1699981689453,147.0291748046875,9864200,175.7557992553711,190.961799697876,181.6300048828125,4.5399932861328125,0.024995833089703545,11149700.0,-1285500.0,-0.11529458191700226,60.94114009531843,152.66513975350853,124.4098419359446,0.024995729053266746,2.8417021392678965,0.03737824219560296,3.551516109302058,141.55352439032578,140.07652095685583,1.477003433469946,0.623749067513122,0.853254365956824,0.024995729053266746,1,98954800,0.17331568864530467
2008-07-31,183.05999755859375,186.07000732421875,182.39999389648438,184.0399932861328,145.3470001220703,6062900,175.78799926757813,190.73529968261718,186.1699981689453,-2.1300048828125,-0.011441182272986627,9864200.0,-3801300.0,-0.3853632327000669,65.81998376394282,153.17881248476908,124.33820869443014,-0.011441094496053461,2.809189956562895,0.03732679111041536,3.5809908254415688,142.1371360413634,140.4669268209458,1.670209220417604,0.8330410980940184,0.8371681223235856,-0.011441094496053461,-1,92891900,0.16628637342781527
2008-08-01,185.0,186.0,178.66000366210938,182.0,143.7359161376953,7495400,175.8559991455078,190.5211496734619,184.0399932861328,-2.0399932861328125,-0.011084510761534161,6062900.0,1432500.0,0.23627307064276182,67.54184591001135,153.45592002636323,124.3341465019571,-0.011084397909980392,2.7780517772796314,0.037444277111654885,3.5798050070462466,142.38310221002985,140.70907417774205,1.6740280322877936,1.0012384849327733,0.6727895473550203,-0.011084397909980392,-1,85396500,0.05287515537068144
2008-08-04,179.66000366210938,180.58999633789062,176.1999969482422,177.86000061035156,140.46629333496094,7551900,175.86919921875,190.27234970092775,182.0,-4.1399993896484375,-0.022747249393672786,7495400.0,56500.0,0.007537956613389518,64.41395621109481,153.60378755026107,124.84728361673108,-0.02274743077855479,2.714858236776722,0.03587764552007964,3.7173612899516164,142.08820853694232,140.6910904116101,1.397118125332213,1.0804144130126612,0.31670371231955174,-0.02274743077855479,-1,77844600,-0.018649331165132788
2008-08-05,178.88999938964844,180.8300018310547,175.5,180.77000427246094,142.76446533203125,8772200,176.03179931640625,190.03694969177246,177.86000061035156,2.910003662109375,0.01636120348658099,7551900.0,1220300.0,0.16158847442365487,57.04422748392741,153.91806689822988,125.02341259395764,0.01636102115679816,2.7592760898263333,0.035468440674709126,3.3471596815963225,142.19224804387906,140.84467373904872,1.3475743048303457,1.1338463913761982,0.21372791345414743,0.01636102115679816,1,86616800,-0.011321330709306743
2008-08-06,179.0,180.89999389648438,177.5,179.5500030517578,141.8009490966797,5832700,176.1443994140625,189.84624969482422,180.77000427246094,-1.220001220703125,-0.006748914044745535,8772200.0,-2939500.0,-0.33509267914548235,48.697886996918584,154.07284450470192,125.7261651998879,-0.006748992006594068,2.740653757552109,0.034531445035702366,2.8525861960655443,142.13204820584838,140.9155089507251,1.2165392551232799,1.1503849641256145,0.06615429099766534,-0.006748992006594068,-1,80784100,-0.006803826395865187
2008-08-07,177.22000122070312,178.5,171.14999389648438,172.3300018310547,136.09890747070312,9103100,176.0943994140625,189.59699974060058,179.5500030517578,-7.220001220703125,-0.04021164632685559,5832700.0,3270400.0,0.5607008760951189,41.09312145677224,154.02897777697692,125.96749744274965,-0.04021158999499308,2.6304477123351866,0.035881792174397444,3.4902956824573335,141.2038727081337,140.55872365590864,0.6451490522250651,1.0493377817455047,-0.4041887295204396,-0.04021158999499308,-1,71681000,-0.08354601157197905
2008-08-08,172.75999450683594,178.4499969482422,172.02000427246094,175.9499969482422,138.9578399658203,6634600,176.08859924316405,189.35794975280763,172.3300018310547,3.6199951171875,0.021006180460303003,9103100.0,-2468500.0,-0.27117135920730295,46.176366290337214,153.42246078694086,127.66273208415288,0.021006285415866355,2.685703647752012,0.03439105946135576,3.6041564397405463,140.85832920931625,140.44013967886505,0.4181895304512011,0.9231081314866441,-0.504918601035443,0.021006285415866355,1,78315600,-0.06344812092803853
